participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0380,25.0,female,high,3.5,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0534,21.75,male,high,6.0,1.0,-1.17542691205401,3,-0.24066282671439,6.0,1.00864381995134
sub-0576,24.0,male,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,2.0,-1.38982980710917
sub-0162,23.5,female,medium,3.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0367,25.75,male,low,4.0,2.0,0.497679833195258,4,0.530097854191498,,
sub-0670,22.25,female,high,5.5,2.25,0.915956519507576,3,-0.24066282671439,2.66666666666667,-0.990084202599084
sub-0639,26.0,male,high,4.0,1.5,-0.338873539429378,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0263,21.0,female,high,6.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0617,23.25,female,medium,4.0,1.75,0.0794031468829401,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0788,23.0,female,medium,4.5,1.5,-0.338873539429378,4,0.530097854191498,2.66666666666667,-0.990084202599084
sub-0901,26.0,female,medium,4.5,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0377,21.75,female,medium,4.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0811,23.75,female,medium,2.0,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0298,22.75,female,medium,3.5,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0784,22.0,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0033,25.75,female,medium,4.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0254,20.5,female,medium,2.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0558,23.25,female,high,5.0,1.0,-1.17542691205401,3,-0.24066282671439,3.33333333333333,-0.590338598089
sub-0469,21.5,male,medium,6.0,1.75,0.0794031468829401,2,-1.01142350762028,2.33333333333333,-1.18995700485413
sub-0397,22.25,male,medium,4.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0439,21.5,male,medium,3.0,1.0,-1.17542691205401,2,-1.01142350762028,5.0,0.409025413186211
sub-0050,22.5,female,high,5.0,2.0,0.497679833195258,5,1.30085853509739,,
sub-0736,24.0,male,high,4.0,2.0,0.497679833195258,4,0.530097854191498,3.33333333333333,-0.590338598089
sub-0527,24.0,female,high,3.0,2.5,1.33423320581989,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0842,23.75,male,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,4.0,-0.190592993578915
sub-0074,24.75,female,high,5.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0699,24.5,female,high,3.5,1.25,-0.757150225741696,4,0.530097854191498,2.33333333333333,-1.18995700485413
sub-0883,21.75,female,high,5.0,1.0,-1.17542691205401,1,-1.78218418852617,5.0,0.409025413186211
sub-0792,21.5,female,high,6.0,2.75,1.75250989213221,3,-0.24066282671439,6.0,1.00864381995134
sub-0828,23.75,male,medium,3.5,2.25,0.915956519507576,4,0.530097854191498,4.0,-0.190592993578915
sub-0384,22.25,female,medium,3.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0509,23.75,female,high,2.5,1.75,0.0794031468829401,4,0.530097854191498,3.0,-0.790211400344042
sub-0812,22.5,male,medium,6.0,1.25,-0.757150225741696,5,1.30085853509739,5.66666666666667,0.808771017696296
sub-0774,20.5,female,medium,4.0,1.25,-0.757150225741696,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0830,25.25,female,high,2.0,2.0,0.497679833195258,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0470,22.0,male,medium,2.0,2.0,0.497679833195258,2,-1.01142350762028,5.0,0.409025413186211
sub-0159,20.25,male,medium,6.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0712,21.0,female,medium,4.0,1.25,-0.757150225741696,3,-0.24066282671439,2.66666666666667,-0.990084202599084
sub-0130,21.75,female,medium,5.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0206,20.25,male,medium,4.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0762,25.25,female,low,2.0,1.0,-1.17542691205401,4,0.530097854191498,2.0,-1.38982980710917
sub-0075,23.5,male,high,2.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0825,23.5,female,high,6.0,1.75,0.0794031468829401,3,-0.24066282671439,5.0,0.409025413186211
sub-0621,22.5,female,low,2.5,1.0,-1.17542691205401,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0516,23.5,male,high,5.5,1.5,-0.338873539429378,3,-0.24066282671439,1.66666666666667,-1.58970260936421
sub-0400,21.75,female,high,3.5,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0278,24.75,female,medium,4.5,2.0,0.497679833195258,5,1.30085853509739,,
sub-0818,22.75,female,medium,2.5,1.25,-0.757150225741696,2,-1.01142350762028,5.33333333333333,0.608898215441253
sub-0599,25.5,female,low,3.5,1.5,-0.338873539429378,2,-1.01142350762028,7.0,1.60826222671646
sub-0551,22.25,male,medium,5.5,3.0,2.17078657844453,4,0.530097854191498,5.0,0.409025413186211
sub-0223,24.25,female,high,6.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0739,21.25,male,high,5.0,3.5,3.00733995106917,5,1.30085853509739,4.33333333333333,0.0092798086761266
sub-0583,21.25,male,medium,2.5,1.25,-0.757150225741696,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0347,22.5,male,medium,2.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0432,25.5,female,high,4.5,1.0,-1.17542691205401,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0789,23.0,male,medium,3.0,1.5,-0.338873539429378,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0800,21.5,female,high,5.0,1.25,-0.757150225741696,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0810,20.25,male,medium,3.0,1.25,-0.757150225741696,3,-0.24066282671439,4.0,-0.190592993578915
sub-0879,25.75,male,medium,2.0,1.25,-0.757150225741696,2,-1.01142350762028,6.66666666666667,1.40838942446142
sub-0864,21.25,male,medium,5.0,2.25,0.915956519507576,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0524,25.0,female,high,4.5,1.0,-1.17542691205401,1,-1.78218418852617,7.0,1.60826222671646
sub-0395,21.75,female,high,6.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0835,22.25,female,high,3.5,1.75,0.0794031468829401,5,1.30085853509739,1.33333333333333,-1.78957541161925
sub-0373,24.0,male,medium,4.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0644,23.75,female,medium,2.0,1.75,0.0794031468829401,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0260,21.5,female,medium,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0013,23.5,male,medium,2.0,3.5,3.00733995106917,3,-0.24066282671439,,
sub-0131,21.0,female,medium,4.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0022,23.5,female,high,3.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0132,23.75,male,high,4.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0801,21.75,female,high,6.0,1.25,-0.757150225741696,6,2.07161921600328,6.66666666666667,1.40838942446142
sub-0035,21.25,female,high,4.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0556,22.0,male,low,4.0,1.5,-0.338873539429378,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0569,22.0,female,high,4.0,1.5,-0.338873539429378,4,0.530097854191498,2.0,-1.38982980710917
sub-0490,25.0,female,medium,5.0,1.0,-1.17542691205401,2,-1.01142350762028,4.0,-0.190592993578915
sub-0135,23.5,male,high,4.0,3.0,2.17078657844453,4,0.530097854191498,,
sub-0077,25.25,male,medium,3.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0072,21.25,female,medium,5.0,1.25,-0.757150225741696,1,-1.78218418852617,,
sub-0916,23.75,male,medium,4.0,2.0,0.497679833195258,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0487,24.25,female,medium,2.5,1.0,-1.17542691205401,3,-0.24066282671439,6.66666666666667,1.40838942446142
sub-0127,25.25,female,medium,2.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0493,24.5,male,medium,4.0,2.5,1.33423320581989,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0906,22.0,male,medium,4.0,2.75,1.75250989213221,3,-0.24066282671439,5.0,0.409025413186211
sub-0588,23.0,female,medium,4.0,2.5,1.33423320581989,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0105,22.5,male,high,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0205,23.75,female,high,3.5,1.5,-0.338873539429378,6,2.07161921600328,,
sub-0420,23.25,male,high,5.0,2.0,0.497679833195258,1,-1.78218418852617,4.33333333333333,0.0092798086761266
sub-0671,25.0,female,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,3.0,-0.790211400344042
sub-0452,20.75,female,high,5.0,1.0,-1.17542691205401,5,1.30085853509739,1.33333333333333,-1.78957541161925
sub-0802,23.0,male,high,2.0,1.25,-0.757150225741696,4,0.530097854191498,6.0,1.00864381995134
sub-0091,20.5,female,medium,4.5,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0301,22.0,female,medium,3.5,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0056,20.0,male,medium,2.0,1.5,-0.338873539429378,5,1.30085853509739,,
sub-0813,25.0,male,medium,5.0,1.75,0.0794031468829401,4,0.530097854191498,5.33333333333333,0.608898215441253
sub-0494,24.5,female,medium,3.0,2.0,0.497679833195258,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0106,23.0,male,high,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0634,24.25,male,low,2.0,2.5,1.33423320581989,5,1.30085853509739,3.66666666666667,-0.390465795833958
sub-0686,20.25,male,high,6.0,2.0,0.497679833195258,4,0.530097854191498,1.66666666666667,-1.58970260936421
sub-0169,23.5,female,medium,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0769,20.25,female,high,5.5,2.5,1.33423320581989,4,0.530097854191498,1.0,-1.98944821387429
sub-0657,20.5,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0428,23.75,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0884,20.75,female,medium,4.5,2.0,0.497679833195258,3,-0.24066282671439,3.33333333333333,-0.590338598089
sub-0501,25.5,male,low,2.0,1.5,-0.338873539429378,4,0.530097854191498,5.33333333333333,0.608898215441253
