"","AOMICID","income","female","education","hand","econ.ideology","econ.ideology.scale","social.ideology","social.ideology.scale","economic.identity","economic.identity.scale","social.identity","social.identity.scale","political.interest","political.interest.scale","non.voting","unfaithful.voting","vote.2010","vote.next","alpha","beta","gamma","delta","Fscale","ACC","rAmyg","rAmygW","lAmyg"
"810","838","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.75,1.16594757091891,2.75,1.75250989213221,7,1.9582952699031,4,0.530097854191498,3,-0.790211400344042,1,1,"PVV","PVV",-1.61065716365595,-0.845830942423806,0.75643949287685,1.70280926620354,0.5625,286,556,338,506
"811","839","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.5,0.827808744695738,1.5,-0.338873539429378,4,0.127260701341909,4,0.530097854191498,4.66666666666667,0.209152610931169,1,7,"PvdA",NA,0.80095066305542,0.905416971013799,0.237615109288601,1.70280926620354,0.5625,344,643,398,772
"812","840","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.25,0.489669918472564,1.75,0.0794031468829401,4,0.127260701341909,4,0.530097854191498,2,-1.38982980710917,1,6,"GroenLinks",NA,-0.00291861251503796,-0.845830942423806,-0.021797082505523,0.895510184587043,0.375,335,612,373,794
"813","841","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Linkshandig",3,0.151531092249389,1.5,-0.338873539429378,3,-0.483084154845155,3,-0.24066282671439,4.66666666666667,0.209152610931169,1,3,NA,NA,0.399016025270191,-0.845830942423806,-0.021797082505523,1.70280926620354,0.375,342,552,339,708
"814","842","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3.75,1.16594757091891,1.5,-0.338873539429378,5,0.737605557528972,3,-0.24066282671439,4,-0.190592993578915,1,5,"PvdA","D66",-0.806787888085496,-1.89657969048637,-1.31885804147614,0.35731079684271,0.375,339,603,375,662
"815","843","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.75,1.16594757091891,1.5,-0.338873539429378,6,1.34795041371604,4,0.530097854191498,5.33333333333333,0.608898215441253,1,2,"PVV","PVV",-0.806787888085496,0.905416971013799,0.497027301082726,1.70280926620354,0.5,334,622,383,648
"816","844","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",2.5,-0.524746560196959,2.5,1.33423320581989,6,1.34795041371604,4,0.530097854191498,2,-1.38982980710917,1,6,"PVV","PVV",0.80095066305542,-1.19608052511133,-1.31885804147614,0.35731079684271,0.5,293,545,334,634
"817","845","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.5,-0.524746560196959,1.75,0.0794031468829401,4,0.127260701341909,5,1.30085853509739,6.33333333333333,1.20851662220638,1,7,"D66",NA,0.80095066305542,0.555167388326278,-1.05944584968202,-0.180888590901622,0.625,331,721,441,698
"818","846","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.5,-0.524746560196959,3,2.17078657844453,4,0.127260701341909,4,0.530097854191498,6,1.00864381995134,1,2,"Christenunie","Christenunie",1.60481993862588,-0.845830942423806,0.237615109288601,0.35731079684271,0.5625,332,662,408,658
"819","847","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3,0.151531092249389,1.75,0.0794031468829401,2,-1.09342901103222,3,-0.24066282671439,2.33333333333333,-1.18995700485413,1,4,"GroenLinks","D66",0.80095066305542,-0.845830942423806,1.01585168467097,-0.988187672518121,0.4375,330,652,409,671
"820","848","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.25,0.489669918472564,1.75,0.0794031468829401,4,0.127260701341909,4,0.530097854191498,6.33333333333333,1.20851662220638,1,2,NA,"D66",-0.00291861251503796,-1.19608052511133,-0.021797082505523,-0.180888590901622,0.375,337,647,406,666
"821","849","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.75,1.16594757091891,2.5,1.33423320581989,4,0.127260701341909,4,0.530097854191498,2.66666666666667,-0.990084202599084,1,1,"D66","D66",1.60481993862588,-2.24682927317389,0.497027301082726,-0.449988284773788,0.3125,340,599,361,673
"822","850","Meer dan driemaal modaal (100000 euro en meer) ",1,NA,"Rechtshandig",3.75,1.16594757091891,2,0.497679833195258,6,1.34795041371604,3,-0.24066282671439,5.33333333333333,0.608898215441253,1,2,"VVD","VVD",0.399016025270191,-2.24682927317389,-1.05944584968202,1.97190896007571,0.5625,327,737,462,651
"823","851","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",2,-1.20102421264331,1,-1.17542691205401,3,-0.483084154845155,2,-1.01142350762028,4,-0.190592993578915,1,2,NA,NA,-1.20872252587072,0.555167388326278,-0.800033657887896,0.35731079684271,0.625,349,693,438,738
"824","852","Meer dan driemaal modaal (100000 euro en meer) ",0,NA,"Rechtshandig",3.75,1.16594757091891,2.25,0.915956519507576,5,0.737605557528972,2,-1.01142350762028,5.33333333333333,0.608898215441253,1,3,"VVD","D66",-0.806787888085496,-0.845830942423806,-0.540621466093772,-0.449988284773788,0.5,336,723,446,746
"825","853","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",4,1.50408639714209,2.75,1.75250989213221,6,1.34795041371604,1,-1.78218418852617,5,0.409025413186211,1,4,"VVD","VVD",0.399016025270191,-0.495581359736285,-0.021797082505523,0.626410490714877,0.5625,294,493,297,574
"826","854","Meer dan driemaal modaal (100000 euro en meer) ",0,NA,"Rechtshandig",3.75,1.16594757091891,2.5,1.33423320581989,5,0.737605557528972,2,-1.01142350762028,6,1.00864381995134,1,1,"D66","D66",-1.61065716365595,-0.495581359736285,-0.021797082505523,1.70280926620354,0.5625,338,558,342,621
