participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0304,22.25,female,medium,4.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0305,21.0,male,high,5.0,2.0,0.497679833195258,6,2.07161921600328,,
sub-0306,22.0,male,high,4.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0309,21.0,female,medium,3.0,1.0,-1.17542691205401,5,1.30085853509739,,
sub-0310,22.5,male,low,4.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0311,23.75,female,high,5.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0317,21.75,male,high,5.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0319,23.0,female,low,2.0,1.75,0.0794031468829401,5,1.30085853509739,,
sub-0322,21.5,male,medium,3.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0324,21.5,female,high,4.5,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0326,21.75,female,high,4.5,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0328,20.25,male,medium,2.5,2.75,1.75250989213221,6,2.07161921600328,,
sub-0329,20.5,male,high,4.0,3.5,3.00733995106917,1,-1.78218418852617,,
sub-0332,21.25,male,high,6.0,2.25,0.915956519507576,7,2.84237989690916,,
sub-0334,21.75,male,medium,4.0,1.75,0.0794031468829401,1,-1.78218418852617,,
sub-0336,20.75,male,high,4.0,2.75,1.75250989213221,3,-0.24066282671439,,
sub-0337,22.0,female,low,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0338,23.5,male,medium,3.5,4.25,4.26217001000612,4,0.530097854191498,,
sub-0340,23.5,female,high,4.5,1.25,-0.757150225741696,7,2.84237989690916,,
sub-0343,25.0,male,high,4.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0344,22.75,female,high,3.0,2.25,0.915956519507576,4,0.530097854191498,,
sub-0349,22.5,female,low,4.5,1.5,-0.338873539429378,7,2.84237989690916,,
sub-0350,24.25,male,medium,4.0,2.25,0.915956519507576,2,-1.01142350762028,,
sub-0356,25.25,male,low,3.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0362,21.0,male,medium,6.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0363,21.25,female,medium,4.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0364,24.25,female,low,2.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0365,20.5,female,high,2.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0368,23.5,female,medium,4.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0369,24.75,male,medium,6.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0371,22.0,female,high,3.5,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0372,23.25,female,medium,4.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0375,23.25,male,medium,4.5,1.75,0.0794031468829401,5,1.30085853509739,,
sub-0376,24.5,male,high,5.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0386,24.5,male,medium,4.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0390,20.5,female,medium,3.5,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0393,20.75,male,high,6.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0394,22.0,male,medium,3.5,1.5,-0.338873539429378,2,-1.01142350762028,,
