"","participant_id","age","sex","education_level","background_SES","social.ideology","social.ideology.scale","social.identity","social.identity.scale","political.interest","political.interest.scale"
"163","sub-0167",21.5,"female","high",2,2,0.497679833195258,7,2.84237989690916,NA,NA
"164","sub-0168",23.75,"female","low",2,2,0.497679833195258,5,1.30085853509739,NA,NA
"165","sub-0169",23.5,"female","medium",2,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"166","sub-0170",25.25,"female","medium",3.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"167","sub-0171",24,"male","high",6,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"168","sub-0173",22.75,"female","high",3,3.75,3.42561663738148,7,2.84237989690916,NA,NA
"169","sub-0174",24.25,"female","high",4.5,3,2.17078657844453,2,-1.01142350762028,NA,NA
"170","sub-0175",22,"male","medium",2.5,2.25,0.915956519507576,6,2.07161921600328,NA,NA
"171","sub-0176",23.75,"female","high",4.5,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"172","sub-0177",24.75,"female","medium",4,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"173","sub-0178",23.25,"male","low",4,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"174","sub-0179",20.5,"male","medium",2,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"175","sub-0180",25.5,"male","low",2.5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"176","sub-0181",25,"female","high",3.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"177","sub-0182",25.5,"female","high",6,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"178","sub-0184",22.5,"female","high",5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"179","sub-0185",20.5,"female","high",5,2.25,0.915956519507576,5,1.30085853509739,NA,NA
"180","sub-0186",21.25,"male","high",5.5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"181","sub-0187",21.25,"female","medium",3,2,0.497679833195258,3,-0.24066282671439,NA,NA
"182","sub-0188",24,"male","high",5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"183","sub-0189",23,"female","high",5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"184","sub-0191",24.75,"female","high",5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"185","sub-0192",20.25,"female","medium",4,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"186","sub-0193",22,"male","high",6,2.5,1.33423320581989,5,1.30085853509739,NA,NA
"187","sub-0194",24.5,"male","medium",3,1.5,-0.338873539429378,6,2.07161921600328,NA,NA
"188","sub-0195",23.75,"male","low",6,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"189","sub-0196",21.75,"male","high",4.5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"190","sub-0197",24,"male","medium",4.5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"191","sub-0198",22.25,"male","medium",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"192","sub-0199",21.75,"male","medium",4,2.75,1.75250989213221,7,2.84237989690916,NA,NA
"193","sub-0200",20.75,"male","medium",4,2.75,1.75250989213221,3,-0.24066282671439,NA,NA
"194","sub-0201",24.5,"male","low",4.5,1,-1.17542691205401,4,0.530097854191498,NA,NA
"195","sub-0202",22.5,"male","high",6,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"196","sub-0204",21.5,"female","medium",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"197","sub-0205",23.75,"female","high",3.5,1.5,-0.338873539429378,6,2.07161921600328,NA,NA
"198","sub-0206",20.25,"male","medium",4,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"199","sub-0208",22.25,"male","high",5.5,2.5,1.33423320581989,2,-1.01142350762028,NA,NA
"200","sub-0209",26,"female","low",3.5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"201","sub-0210",21.5,"male","high",6,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"202","sub-0211",20,"female","high",5,3,2.17078657844453,4,0.530097854191498,NA,NA
"203","sub-0212",20.75,"male","medium",4,1.5,-0.338873539429378,1,-1.78218418852617,NA,NA
"204","sub-0213",22,"female","medium",3,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"205","sub-0214",21.5,"female","high",6,2,0.497679833195258,1,-1.78218418852617,NA,NA
"206","sub-0215",20,"female","high",2,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"207","sub-0216",22.25,"female","medium",4.5,1.75,0.0794031468829401,1,-1.78218418852617,NA,NA
"208","sub-0217",25.25,"female","high",5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"209","sub-0218",21,"female","low",4.5,2.25,0.915956519507576,6,2.07161921600328,NA,NA
"210","sub-0219",21.25,"female","high",6,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"211","sub-0220",24.75,"female","high",3.5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"212","sub-0221",21.25,"female","medium",4.5,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"213","sub-0222",22.25,"male","medium",4.5,2.5,1.33423320581989,3,-0.24066282671439,NA,NA
"214","sub-0223",24.25,"female","high",6,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"215","sub-0224",25.5,"male","medium",3.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"216","sub-0225",20.25,"male","medium",3,2.5,1.33423320581989,3,-0.24066282671439,NA,NA
"217","sub-0226",23.5,"female","medium",5,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"218","sub-0227",25.75,"male","low",2.5,2.25,0.915956519507576,4,0.530097854191498,NA,NA
"219","sub-0228",24,"male","high",4,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"220","sub-0229",25.25,"male","high",5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"221","sub-0230",21.25,"female","high",4,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"222","sub-0231",20.75,"male","medium",4.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"223","sub-0232",25.5,"female","high",6,2.5,1.33423320581989,3,-0.24066282671439,NA,NA
